trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
336,False,"{'a': 0.5, 'e': 0.18730817948195702}",25,9,27.911112531722846,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,9,30.22206439005252,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.18544443195597088}",20,5,13.335838543487391,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,22,11.704916578833627,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.18359922902771786}",30,10,36.05948178068399,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,0,30.131506592124264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.5, 'e': 0.1817723861753675}",20,9,18.79080012616506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,0,26.080367230238945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
344,False,"{'a': 0.5, 'e': 0.17996372071311217}",20,3,6.532699020631925,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,7,26.29889832449464,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.1781730517728984}",20,9,20.397209145409583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.17728440996987782}",30,16,18.5067174837547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.17640020028634}",20,3,28.910957367999522,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
